strategy_idx,line_tier,spread_bin,scorer_type,bet_side,training_roi,training_hit_rate,training_games,backtest_plays,backtest_wins,backtest_losses,backtest_pushes,backtest_win_rate,backtest_profit,backtest_roi,roi_delta,season
14,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),UNDER,6.7,55.9,102,148,72,76,0,48.64864864864865,-1054.480000000001,-7.124864864864872,-13.824864864864871,2024-25
85,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),OVER,-15.8,44.1,102,148,76,72,0,51.35135135135135,-290.8400000000005,-1.9651351351351383,13.834864864864862,2024-25
18,10-15 (Role Player),10-15 Fav,Rim Attacker (≥40.0%),UNDER,3.8,54.4,57,145,66,79,0,45.51724137931035,-1899.9400000000003,-13.103034482758622,-16.90303448275862,2024-25
81,10-15 (Role Player),10-15 Fav,Rim Attacker (≥40.0%),OVER,-12.9,45.6,57,145,79,66,0,54.48275862068965,581.8899999999994,4.013034482758616,16.91303448275862,2024-25
41,5-10 (Bench),6-10 Fav,Rim Attacker (≥40.0%),UNDER,-1.4,51.6,122,140,69,71,0,49.28571428571429,-827.2100000000003,-5.908642857142858,-4.508642857142858,2024-25
58,5-10 (Bench),6-10 Fav,Rim Attacker (≥40.0%),OVER,-7.7,48.4,122,140,71,69,0,50.71428571428571,-445.39000000000055,-3.1813571428571468,4.518642857142853,2024-25
42,15-20 (High Role),6-10 Fav,Rim Attacker (≥40.0%),UNDER,-1.7,51.5,66,136,77,59,0,56.61764705882353,1100.0699999999993,8.088749999999994,9.788749999999993,2024-25
56,15-20 (High Role),6-10 Fav,Rim Attacker (≥40.0%),OVER,-7.4,48.5,66,136,59,77,0,43.38235294117647,-2336.3100000000004,-17.178750000000004,-9.778750000000004,2024-25
32,15-20 (High Role),2-6 Fav,Rim Attacker (≥40.0%),UNDER,1.3,53.1,81,122,55,67,0,45.08196721311475,-1699.95,-13.934016393442622,-15.234016393442623,2024-25
66,15-20 (High Role),2-6 Fav,Rim Attacker (≥40.0%),OVER,-10.4,46.9,81,122,67,55,0,54.91803278688525,590.9699999999997,4.844016393442621,15.244016393442621,2024-25
23,5-10 (Bench),10-15 Dog,Rim Attacker (≥40.0%),OVER,2.5,53.7,56,114,58,56,0,50.877192982456144,-327.22000000000037,-2.8703508771929855,-5.370350877192985,2024-25
77,5-10 (Bench),10-15 Dog,Rim Attacker (≥40.0%),UNDER,-11.6,46.3,56,114,56,58,0,49.122807017543856,-709.0400000000005,-6.219649122807022,5.380350877192978,2024-25
96,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),UNDER,-23.6,40.0,85,101,53,48,0,52.475247524752476,18.229999999999393,0.1804950495049445,23.780495049504946,2024-25
3,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),OVER,14.5,60.0,85,101,48,53,0,47.524752475247524,-936.3200000000007,-9.270495049504959,-23.77049504950496,2024-25
38,15-20 (High Role),6-10 Dog,Rim Attacker (≥40.0%),OVER,0.2,52.5,80,99,51,48,0,51.515151515151516,-163.59000000000043,-1.6524242424242468,-1.8524242424242467,2024-25
61,15-20 (High Role),6-10 Dog,Rim Attacker (≥40.0%),UNDER,-9.3,47.5,80,99,48,51,0,48.484848484848484,-736.3200000000003,-7.437575757575761,1.8624242424242397,2024-25
0,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,23.0,64.4,90,97,56,41,0,57.73195876288659,990.9599999999995,10.216082474226798,-12.783917525773202,2024-25
99,5-10 (Bench),Pick'em (-2 to +2),Rim Attacker (≥40.0%),OVER,-32.1,35.6,90,97,41,56,0,42.2680412371134,-1872.6900000000003,-19.30608247422681,12.793917525773193,2024-25
84,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),OVER,-15.2,44.4,54,83,45,38,0,54.21686746987952,290.9499999999997,3.5054216867469847,18.705421686746984,2024-25
15,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),UNDER,6.1,55.6,54,83,38,45,0,45.78313253012048,-1045.42,-12.595421686746988,-18.69542168674699,2024-25
1,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),UNDER,15.9,60.7,56,80,39,41,0,48.75,-554.5100000000007,-6.931375000000009,-22.83137500000001,2024-25
98,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),OVER,-25.0,39.3,56,80,41,39,0,51.24999999999999,-172.6900000000004,-2.158625000000005,22.841374999999996,2024-25
65,25-30 (High Star),Pick'em (-2 to +2),Perimeter (<40.0%),UNDER,-10.2,47.1,51,74,37,37,0,50.0,-336.33000000000015,-4.545000000000002,5.654999999999998,2024-25
34,25-30 (High Star),Pick'em (-2 to +2),Perimeter (<40.0%),OVER,1.1,52.9,51,74,37,37,0,50.0,-336.33000000000027,-4.5450000000000035,-5.645000000000003,2024-25
82,5-10 (Bench),10-15 Fav,Rim Attacker (≥40.0%),OVER,-13.2,45.5,66,73,37,36,0,50.68493150684932,-236.33000000000024,-3.2373972602739762,9.962602739726023,2024-25
17,5-10 (Bench),10-15 Fav,Rim Attacker (≥40.0%),UNDER,4.1,54.5,66,73,36,37,0,49.31506849315068,-427.2400000000002,-5.85260273972603,-9.952602739726029,2024-25
70,25-30 (High Star),6-10 Dog,Perimeter (<40.0%),UNDER,-10.7,46.8,62,69,35,34,0,50.72463768115942,-218.1500000000003,-3.1615942028985553,7.5384057971014435,2024-25
31,25-30 (High Star),6-10 Dog,Perimeter (<40.0%),OVER,1.6,53.2,62,69,34,35,0,49.275362318840585,-409.0600000000002,-5.928405797101452,-7.528405797101453,2024-25
54,20-25 (Star),6-10 Dog,Rim Attacker (≥40.0%),OVER,-6.4,49.0,51,47,23,24,0,48.93617021276596,-309.07000000000016,-6.5759574468085145,-0.1759574468085141,2024-25
45,20-25 (Star),6-10 Dog,Rim Attacker (≥40.0%),UNDER,-2.7,51.0,51,47,24,23,0,51.06382978723404,-118.16000000000014,-2.5140425531914925,0.18595744680850768,2024-25
