event_id,player,market,line,bookmaker,game,game_time,bookmaker_last_update,market_last_update,minutes_stale,over_odds,under_odds
21aa1ed8a0bb40eb9edb2d5f94ff5457,Ace Bailey,player_points,12.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-120.0,-110.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Ace Bailey,player_points,13.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,110.0,-145.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Ace Bailey,player_points,14.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,140.0,-185.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Ace Bailey,player_points,15.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,180.0,-245.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Brice Sensabaugh,player_points,8.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-260.0,190.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Brice Sensabaugh,player_points,9.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-180.0,135.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Brice Sensabaugh,player_points,10.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-130.0,100.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Brice Sensabaugh,player_points,11.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,105.0,-135.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Brice Sensabaugh,player_points,12.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,135.0,-180.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Brice Sensabaugh,player_points,13.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,175.0,-240.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Cooper Flagg,player_points,17.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-300.0,215.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Cooper Flagg,player_points,18.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-230.0,170.0
21aa1ed8a0bb40eb9edb2d5f94ff5457,Cooper Flagg,player_points,19.5,bovada,Dallas Mavericks @ Utah Jazz,2025-12-16T02:11:00Z,,2025-12-16T03:36:40Z,1.21,-180.0,135.0
