consensus_line,num_bookmakers,avg_vig,over_best_odds,over_best_book,over_avg_odds,over_worst_odds,over_worst_book,under_best_odds,under_best_book,under_avg_odds,under_worst_odds,under_worst_book,best_market_vig,avg_market_vig,is_arbitrage,arb_opportunity,arb_profit_pct,alternative_lines,num_alternative_lines,date,player,game
1.5,8,7.11,120,betmgm,118.2,115,williamhill_us,-153,draftkings,-158.4,-165,fanatics,5.93,7.12,False,0,0.0,,0,2025-10-22,Nikola Jovic,Miami Heat @ Orlando Magic
2.5,7,7.03,115,draftkings,110.6,105,williamhill_us,-144,fanduel,-147.1,-152,betrivers,5.53,7.03,False,0,0.0,[1.5],1,2025-10-22,Norman Powell,Miami Heat @ Orlando Magic
2.5,6,7.0,138,betrivers,134.2,125,fanatics,-175,fanatics,-180.0,-186,betrivers,5.65,6.99,False,0,0.0,[1.5],1,2025-10-22,OG Anunoby,Cleveland Cavaliers @ New York Knicks
0.5,1,6.51,-118,betmgm,-118.0,-118,betmgm,-110,betmgm,-110.0,-110,betmgm,6.51,6.51,False,0,0.0,,0,2025-10-22,Onyeka Okongwu,Toronto Raptors @ Atlanta Hawks
1.5,8,7.09,190,bovada,-118.2,-170,williamhill_us,125,betrivers,73.2,-260,bovada,-21.07,11.9,True,1,21.07,,0,2025-10-22,Paolo Banchero,Miami Heat @ Orlando Magic
3.5,7,6.91,-105,betmgm,-112.4,-121,betrivers,-110,betrivers,-117.6,-125,betmgm,3.6,6.96,False,0,0.0,[2.5],1,2025-10-22,Payton Pritchard,Philadelphia 76ers @ Boston Celtics
2.5,6,7.36,136,fanduel,132.0,130,williamhill_us,-175,betmgm,-179.8,-190,fanatics,6.01,7.37,False,0,0.0,[1.5],1,2025-10-22,Quentin Grimes,Philadelphia 76ers @ Boston Celtics
1.5,8,7.04,210,bovada,-92.0,-150,betrivers,112,betrivers,-22.5,-290,bovada,-20.57,-33.72,True,1,20.57,,0,2025-10-22,R.J. Barrett,Toronto Raptors @ Atlanta Hawks
1.5,8,7.14,210,bovada,-96.2,-150,williamhill_us,113,betonlineag,30.2,-290,bovada,-20.79,25.82,True,1,20.79,,0,2025-10-22,Rui Hachimura,Golden State Warriors @ Los Angeles Lakers
0.5,5,7.43,186,betonlineag,175.4,155,fanatics,-233,draftkings,-245.6,-250,betmgm,4.94,7.38,False,0,0.0,,0,2025-10-22,Ryan Kalkbrenner,Brooklyn Nets @ Charlotte Hornets
