game_id,game_time,week,away_abbr,home_abbr,consensus_spread,best_away_spread,best_home_spread,abs_spread,spread_cat,away_is_favorite,home_is_favorite,away_score,home_score,actual_margin,away_covered,home_covered,away_covered_consensus,home_covered_consensus,away_current_luck,away_current_off_luck,away_current_def_luck,home_current_luck,home_current_off_luck,home_current_def_luck,away_prior_luck,away_prior_off_luck,away_prior_def_luck,away_prior_week,away_prior_opp,away_prior_score,away_prior_opp_score,away_prior_adj_score,away_prior_opp_adj_score,away_prior_won,home_prior_luck,home_prior_off_luck,home_prior_def_luck,home_prior_week,home_prior_opp,home_prior_score,home_prior_opp_score,home_prior_adj_score,home_prior_opp_adj_score,home_prior_won,away_prior_luck_cat,home_prior_luck_cat,matchup_type
44d4aff4a372f95015df5de5d3fc4c0e,2022-01-17 01:15:00+00:00,2,PIT,KC,12.5,13.0,-12.0,12.5,7.5+,False,True,37.0,42.0,-5.0,True,False,True,False,-4.799999999999997,4.200000000000003,-9.0,4.799999999999997,9.0,-4.200000000000003,5.399999999999999,2.5,2.8999999999999986,1,BUF,23.0,16.0,20.5,18.9,True,7.0,6.100000000000001,0.8999999999999986,1,CLE,33.0,29.0,26.9,29.9,True,Neutral,Lucky,Neutral vs Lucky
44f33312f4b7cc362b4d235df734777c,2021-11-21 21:25:00+00:00,2,DAL,KC,2.5,2.5,-2.5,2.5,0-3,False,True,16.0,17.0,-1.0,True,False,True,False,-3.5,-6.300000000000001,2.8000000000000007,3.5,-2.8000000000000007,6.300000000000001,-2.3999999999999986,-2.1999999999999993,-0.1999999999999993,1,TB,29.0,31.0,31.2,30.8,False,7.0,6.100000000000001,0.8999999999999986,1,CLE,33.0,29.0,26.9,29.9,True,Neutral,Lucky,Neutral vs Lucky
454db345fe427f1b73e86bd6f78622b8,2021-10-03 20:25:00+00:00,4,PIT,GB,6.0,6.5,-6.0,6.0,3.5-7,False,True,17.0,27.0,-10.0,False,True,False,True,-0.8000000000000007,-1.5,0.6999999999999993,0.8000000000000007,-0.6999999999999993,1.5,-9.600000000000001,-6.300000000000001,-3.3000000000000007,3,CIN,10.0,24.0,16.3,20.7,False,1.0,3.5,-2.5,3,SF,30.0,28.0,26.5,25.5,True,Unlucky,Neutral,Unlucky vs Neutral
45a9db10794fbfb4a4300351a1f2a9d7,2022-01-02 18:00:00+00:00,11,LAR,BAL,-7.0,-6.5,7.5,7.0,3.5-7,True,False,13.0,16.0,-3.0,False,True,False,True,-3.200000000000003,-9.100000000000001,5.899999999999999,3.200000000000003,-5.899999999999999,9.100000000000001,-16.9,-7.5,-9.399999999999999,10,SF,10.0,31.0,17.5,21.6,False,-16.1,-14.100000000000001,-2.0,10,MIA,10.0,22.0,24.1,20.0,False,Unlucky,Unlucky,Unlucky vs Unlucky
469d0b84d522b6ba7c7089fc73a81e53,2022-01-09 18:00:00+00:00,2,TEN,HOU,-10.5,-10.0,11.0,10.5,7.5+,True,False,24.0,30.0,-6.0,False,True,False,True,-2.200000000000003,2.3999999999999986,-4.600000000000001,2.200000000000003,4.600000000000001,-2.3999999999999986,-24.099999999999998,-7.399999999999999,-16.7,1,ARI,13.0,38.0,20.4,21.3,False,13.400000000000002,9.100000000000001,4.300000000000001,1,JAX,37.0,21.0,27.9,25.3,True,Unlucky,Lucky,Unlucky vs Lucky
46dd71cd2c022b11926ef7880ad06eae,2021-12-26 18:00:00+00:00,3,NYG,PHI,11.0,11.5,-10.5,11.0,7.5+,False,True,24.0,27.0,-3.0,True,False,True,False,-3.6000000000000014,-3.5,-0.10000000000000142,3.6000000000000014,0.10000000000000142,3.5,3.0,4.300000000000001,-1.3000000000000007,2,WAS,29.0,30.0,24.7,28.7,False,-7.900000000000002,-11.100000000000001,3.1999999999999993,2,SF,11.0,17.0,22.1,20.2,False,Neutral,Unlucky,Neutral vs Unlucky
4d464efab63906984b16c5c1afa022d2,2021-11-07 21:05:00+00:00,2,LAC,PHI,0.0,0.5,1.5,0.0,0-3,False,True,33.0,30.0,3.0,True,False,True,False,-2.5,-1.8999999999999986,-0.6000000000000014,2.5,0.6000000000000014,1.8999999999999986,-5.399999999999999,-5.399999999999999,0.0,1,WAS,20.0,16.0,25.4,16.0,True,14.600000000000001,3.6000000000000014,11.0,1,ATL,32.0,6.0,28.4,17.0,True,Neutral,Lucky,Neutral vs Lucky
4e94e99414c3d29f81f451bf40d2d5e6,2021-11-26 01:20:00+00:00,8,BUF,NO,-6.5,-6.0,6.5,6.5,3.5-7,True,False,17.0,35.0,-18.0,False,True,False,True,-10.899999999999999,-2.1999999999999993,-8.7,10.899999999999999,8.7,2.1999999999999993,-0.9000000000000021,-10.600000000000001,9.7,7,NYJ,18.0,10.0,28.6,19.7,True,-0.40000000000000036,-6.300000000000001,5.9,7,SEA,13.0,10.0,19.3,15.9,True,Neutral,Neutral,Neutral vs Neutral
4edd5ce090a3ec6192053b10d27b87b0,2021-10-19 00:15:00+00:00,5,BUF,TEN,-6.0,-6.0,6.5,6.0,3.5-7,True,False,14.0,13.0,1.0,False,True,False,True,2.4999999999999982,-1.4000000000000004,3.8999999999999986,-2.4999999999999982,-3.8999999999999986,1.4000000000000004,11.000000000000002,6.100000000000001,4.9,4,HOU,40.0,0.0,33.9,4.9,True,-6.199999999999999,-4.399999999999999,-1.8000000000000007,4,NYJ,24.0,27.0,28.4,25.2,False,Lucky,Neutral,Lucky vs Neutral
4f3ffed17a43f9457eadd93b6da653d9,2021-12-06 01:20:00+00:00,2,DEN,KC,8.5,9.5,-8.0,8.5,7.5+,False,True,24.0,17.0,7.0,True,False,True,False,3.3000000000000007,0.3000000000000007,3.0,-3.3000000000000007,-3.0,-0.3000000000000007,13.299999999999997,2.8999999999999986,10.399999999999999,1,NYG,27.0,13.0,24.1,23.4,True,7.0,6.100000000000001,0.8999999999999986,1,CLE,33.0,29.0,26.9,29.9,True,Lucky,Lucky,Lucky vs Lucky
