player,game,game_time,market,line,bookmaker,bookmaker_last_update,market_last_update,over_odds,under_odds
De'Aaron Fox,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,betrivers,2025-11-20T14:54:36Z,2025-11-20T14:55:55Z,128,-175
Harrison Barnes,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,betrivers,2025-11-20T14:54:36Z,2025-11-20T14:55:55Z,118,-157
Onyeka Okongwu,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,betrivers,2025-11-20T14:54:36Z,2025-11-20T14:55:55Z,-125,-107
Devin Vassell,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,betrivers,2025-11-20T14:54:36Z,2025-11-20T14:55:55Z,120,-162
Devin Vassell,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:09Z,113,-147
Jalen Johnson,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:09Z,124,-161
Keldon Johnson,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:09Z,155,-204
Onyeka Okongwu,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:09Z,-112,-115
Julian Champagnie,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:09Z,113,-147
Zaccharie Risacher,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:09Z,-118,-110
De'Aaron Fox,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:09Z,109,-141
Harrison Barnes,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:09Z,107,-139
Nickeil Alexander-Walker,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:09Z,117,-152
Kristaps Porzingis,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,1.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:09Z,-118,-110
Jeremy Sochan,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,0.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:09Z,-167,128
Kelly Olynyk,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,0.5,betonlineag,2025-11-20T14:54:37Z,2025-11-20T14:55:09Z,-141,108
Devin Vassell,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:55:59Z,108,-142
Julian Champagnie,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:55:59Z,109,-143
De'Aaron Fox,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:55:59Z,110,-145
Harrison Barnes,Atlanta Hawks @ San Antonio Spurs,2025-11-21T01:10:00Z,player_threes,2.5,draftkings,2025-11-20T14:54:49Z,2025-11-20T14:55:59Z,114,-150
