game_date,player_name,team,opponent,points_line,team_spread,line_tier,spread_bin,scorer_type,strategy_key,bet_side,strategy_roi,strategy_edge,strategy_hit_rate,strategy_games,actual_points,result,margin,profit
2025-10-22,Walker Kessler,Utah Jazz,UTA vs. LAC,10.625,9.590909090909092,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),17,UNDER,5.5,3.7,55.3,123,22,LOSS,11.375,-110.0
2025-10-22,Evan Mobley,Cleveland Cavaliers,CLE @ NYK,18.264705882352946,-1.6363636363636365,15-20 (High Role),Pick'em (-2 to +2),Rim Attacker (≥40.0%),1,UNDER,11.9,7.0,58.6,58,22,LOSS,3.7352941176470544,-110.0
2025-10-22,RJ Barrett,Toronto Raptors,TOR @ ATL,17.735294117647058,5.545454545454546,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),16,UNDER,6.2,4.1,55.7,115,25,LOSS,7.264705882352942,-110.0
2025-10-22,Cade Cunningham,Detroit Pistons,DET @ CHI,26.605263157894736,-3.1818181818181817,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),7,UNDER,8.6,5.3,56.9,58,23,WIN,-3.6052631578947363,100.0
2025-10-22,Scottie Barnes,Toronto Raptors,TOR @ ATL,18.166666666666668,5.545454545454546,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),16,UNDER,6.2,4.1,55.7,115,22,LOSS,3.833333333333332,-110.0
2025-10-22,Devin Booker,Phoenix Suns,PHX vs. SAC,28.3,-3.6818181818181817,25-30 (High Star),2-6 Fav,Perimeter (<40.0%),7,UNDER,8.6,5.3,56.9,58,31,LOSS,2.6999999999999993,-110.0
2025-10-22,Stephon Castle,San Antonio Spurs,SAS @ DAL,16.558823529411764,3.590909090909091,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),16,UNDER,6.2,4.1,55.7,115,22,LOSS,5.4411764705882355,-110.0
2025-10-22,Mikal Bridges,New York Knicks,NYK vs. CLE,16.3125,1.6363636363636365,15-20 (High Role),Pick'em (-2 to +2),Perimeter (<40.0%),12,UNDER,6.8,4.4,56.0,109,16,WIN,-0.3125,100.0
2025-10-22,Lauri Markkanen,Utah Jazz,UTA vs. LAC,21.7,9.590909090909092,20-25 (Star),6-10 Dog,Perimeter (<40.0%),19,OVER,5.1,6.7,55.1,69,20,LOSS,-1.6999999999999993,-110.0
2025-10-22,Matas Buzelis,Chicago Bulls,CHI vs. DET,16.055555555555557,3.1818181818181817,15-20 (High Role),2-6 Dog,Rim Attacker (≥40.0%),16,UNDER,6.2,4.1,55.7,115,21,LOSS,4.944444444444443,-110.0
2025-10-22,Sam Merrill,Cleveland Cavaliers,CLE @ NYK,9.166666666666666,-1.6363636363636365,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),14,UNDER,6.6,4.2,55.8,129,19,LOSS,9.833333333333334,-110.0
2025-10-22,Shaedon Sharpe,Portland Trail Blazers,POR vs. MIN,20.394736842105264,5.0,20-25 (Star),2-6 Dog,Rim Attacker (≥40.0%),3,UNDER,9.9,6.0,57.6,66,15,WIN,-5.394736842105264,100.0
2025-10-22,Brook Lopez,Los Angeles Clippers,LAC @ UTA,5.666666666666667,-9.590909090909092,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),2,OVER,11.1,9.8,58.2,208,15,WIN,9.333333333333332,100.0
2025-10-22,Miles McBride,New York Knicks,NYK vs. CLE,7.5,1.6363636363636365,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),14,UNDER,6.6,4.2,55.8,129,15,LOSS,7.5,-110.0
2025-10-22,Donovan Clingan,Portland Trail Blazers,POR vs. MIN,9.7,5.0,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),11,OVER,6.9,7.6,56.0,160,8,LOSS,-1.6999999999999993,-110.0
2025-10-22,Cam Whitmore,Washington Wizards,WAS @ MIL,11.0,9.863636363636363,10-15 (Role Player),6-10 Dog,Rim Attacker (≥40.0%),17,UNDER,5.5,3.7,55.3,123,14,LOSS,3.0,-110.0
2025-10-22,Drew Eubanks,Sacramento Kings,SAC @ PHX,8.576923076923077,3.6818181818181817,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),11,OVER,6.9,7.6,56.0,160,4,LOSS,-4.576923076923077,-110.0
2025-10-22,Dean Wade,Cleveland Cavaliers,CLE @ NYK,5.5,-1.6363636363636365,5-10 (Bench),Pick'em (-2 to +2),Perimeter (<40.0%),14,UNDER,6.6,4.2,55.8,129,10,LOSS,4.5,-110.0
2025-10-22,AJ Green,Milwaukee Bucks,MIL vs. WAS,8.666666666666666,-9.863636363636363,5-10 (Bench),6-10 Fav,Perimeter (<40.0%),2,OVER,11.1,9.8,58.2,208,11,WIN,2.333333333333334,100.0
2025-10-22,Yves Missi,New Orleans Pelicans,NOP @ MEM,8.5,4.090909090909091,5-10 (Bench),2-6 Dog,Rim Attacker (≥40.0%),11,OVER,6.9,7.6,56.0,160,5,LOSS,-3.5,-110.0
2025-10-22,Joel Embiid,Philadelphia 76ers,PHI @ BOS,25.13157894736842,5.0,25-30 (High Star),2-6 Dog,Perimeter (<40.0%),6,OVER,8.8,8.6,57.0,107,4,LOSS,-21.13157894736842,-110.0
