player,player_id,paint_fga,paint_fgm,paint_fg_pct,paint_rate,paint_ppg,games,rank
Tidjane Salaün,1642275,51,30,58.8,43.6,2.9,21,195
Christian Braun,1631128,68,40,58.8,61.3,5.7,14,196
Harrison Barnes,203084,109,64,58.7,30.8,3.5,37,197
Saddiq Bey,1630180,184,108,58.7,43.1,6.5,33,198
Anthony Black,1641710,230,135,58.7,47.1,6.8,40,199
Yves Missi,1642274,126,74,58.7,92.6,4.8,31,200
Isaac Okoro,1630171,111,65,58.6,52.6,4.3,30,201
Jarred Vanderbilt,1629020,65,38,58.5,55.6,3.0,25,202
Adem Bona,1641737,65,38,58.5,92.9,3.0,25,203
Jabari Walker,1631133,65,38,58.5,54.6,3.0,25,204
Ajay Mitchell,1642349,193,113,58.5,46.4,5.9,38,205
Trayce Jackson-Davis,1631218,89,52,58.4,100.0,4.0,26,206
Keyonte George,1641718,178,104,58.4,28.4,5.5,38,207
Dyson Daniels,1630700,274,160,58.4,64.6,7.8,41,208
De'Andre Hunter,1629631,89,52,58.4,22.4,3.0,35,209
Paolo Banchero,1631094,218,127,58.3,46.6,8.5,30,210
Jaylon Tyson,1642281,163,95,58.3,47.1,5.3,36,211
Jordan Miller,1641757,36,21,58.3,45.6,3.0,14,212
Kobe Sanders,1642920,43,25,58.1,26.9,2.4,21,213
Bobby Portis,1626171,93,54,58.1,21.9,2.9,37,214
Ja'Kobe Walter,1642266,50,29,58.0,27.6,2.3,25,215
Nikola Vučević,202696,192,111,57.8,37.1,5.8,38,216
Terance Mann,1629611,90,52,57.8,42.3,3.7,28,217
Franz Wagner,1630532,206,119,57.8,53.9,9.9,24,218
Paul George,202331,52,30,57.7,19.0,3.2,19,219
Andrew Wiggins,203952,184,106,57.6,39.1,5.9,36,220
Bruce Brown,1628971,134,77,57.5,54.7,3.8,40,221
Quenton Jackson,1631245,40,23,57.5,47.6,3.1,15,222
Moses Moody,1630541,73,42,57.5,22.1,2.6,32,223
Miles Bridges,1628970,251,144,57.4,41.6,7.6,38,224
Ryan Rollins,1631157,195,112,57.4,36.1,5.6,40,225
Desmond Bane,1630217,288,165,57.3,46.7,8.2,40,226
Andrew Nembhard,1629614,110,63,57.3,25.6,4.2,30,227
P.J. Washington,1629023,166,95,57.2,46.0,6.6,29,228
Ayo Dosunmu,1630245,182,104,57.1,53.8,6.3,33,229
De'Anthony Melton,1629001,49,28,57.1,34.5,4.0,14,230
Kevon Looney,1626172,28,16,57.1,62.2,2.7,12,231
Norman Powell,1626181,211,120,56.9,37.7,7.1,34,232
Deni Avdija,1630166,308,175,56.8,45.4,8.8,40,233
Donte DiVincenzo,1628978,74,42,56.8,16.9,2.5,34,234
Jonathan Kuminga,1630228,90,51,56.7,49.7,6.0,17,235
Ryan Nembhard,1642948,30,17,56.7,16.1,1.7,20,236
Russell Westbrook,201566,175,99,56.6,34.2,5.0,40,237
Jalen Brunson,1628973,191,108,56.5,24.8,6.2,35,238
James Harden,201935,195,110,56.4,31.2,6.1,36,239
Ronald Holland II,1641842,140,79,56.4,51.7,4.6,34,240
Kyle Filipowski,1642271,142,80,56.3,51.3,4.2,38,241
Domantas Sabonis,1627734,105,59,56.2,72.4,10.7,11,242
Javonte Green,1629750,89,50,56.2,41.6,3.0,33,243
Karl-Anthony Towns,1626157,300,168,56.0,57.5,9.3,36,244
Kyshawn George,1642273,93,52,55.9,27.5,3.9,27,245
Josh Okogie,1629006,68,38,55.9,41.2,2.9,26,246
Dalen Terry,1631207,34,19,55.9,54.8,1.9,20,247
Jaren Jackson Jr.,1628991,181,101,55.8,34.2,5.6,36,248
Malik Monk,1628370,77,43,55.8,24.4,2.9,30,249
Jrue Holiday,201950,52,29,55.8,28.1,4.1,14,250
Tre Johnson,1642848,52,29,55.8,17.0,2.3,25,251
Jaylen Clark,1641740,61,34,55.7,45.2,2.5,27,252
Nickeil Alexander-Walker,1629638,212,118,55.7,33.1,5.9,40,253
Ochai Agbaji,1630534,79,44,55.7,62.2,3.3,27,254
Guerschon Yabusele,1627824,27,15,55.6,29.3,1.9,16,255
Cade Cunningham,1630595,267,148,55.4,40.6,9.2,32,256
D'Angelo Russell,1626156,47,26,55.3,20.3,2.4,22,257
Grayson Allen,1628960,67,37,55.2,23.1,3.2,23,258
Precious Achiuwa,1630173,134,74,55.2,68.0,4.9,30,259
Brandon Miller,1641706,96,53,55.2,25.2,4.6,23,260
