week,team,game_id,opponent,score,opponent_score,adj_score,score_diff,won_game,next_week,next_game_id,next_opponent,next_score,next_opponent_score,next_adj_score,next_score_diff,won_next_game,diff_change,diff_bin
5,LA,2025_05_SF_LA,SF,23,26,32.0,-9.0,0,6,2025_06_LA_BAL,BAL,17,3,23.2,-6.199999999999999,1,2.8000000000000007,-10 to -7
5,SF,2025_05_SF_LA,LA,26,23,26.9,-0.8999999999999986,1,6,2025_06_SF_TB,TB,19,30,21.0,-2.0,0,-1.1000000000000014,-3 to 0
5,SEA,2025_05_TB_SEA,TB,35,38,30.7,4.300000000000001,0,6,2025_06_SEA_JAX,JAX,20,12,21.6,-1.6000000000000014,1,-5.900000000000002,3 to 5
5,TB,2025_05_TB_SEA,SEA,38,35,27.2,10.8,1,6,2025_06_SF_TB,SF,30,19,26.8,3.1999999999999993,1,-7.600000000000001,10 to 15
5,ARI,2025_05_TEN_ARI,TEN,21,22,19.6,1.3999999999999986,0,6,2025_06_ARI_IND,IND,27,31,24.6,2.3999999999999986,0,1.0,0 to 3
5,TEN,2025_05_TEN_ARI,ARI,22,21,25.1,-3.1000000000000014,1,6,2025_06_TEN_LV,LV,10,20,12.1,-2.0999999999999996,0,1.0000000000000018,-5 to -3
5,LAC,2025_05_WAS_LAC,WAS,10,27,12.7,-2.6999999999999993,0,6,2025_06_LAC_MIA,MIA,29,27,22.6,6.399999999999999,1,9.099999999999998,-3 to 0
5,WAS,2025_05_WAS_LAC,LAC,27,10,28.0,-1.0,1,6,2025_06_CHI_WAS,CHI,24,25,21.2,2.8000000000000007,0,3.8000000000000007,-3 to 0
6,ARI,2025_06_ARI_IND,IND,27,31,24.6,2.3999999999999986,0,7,2025_07_GB_ARI,GB,23,27,19.6,3.3999999999999986,0,1.0,0 to 3
6,IND,2025_06_ARI_IND,ARI,31,27,27.1,3.8999999999999986,1,7,2025_07_IND_LAC,LAC,38,24,28.9,9.100000000000001,1,5.200000000000003,3 to 5
6,ATL,2025_06_BUF_ATL,BUF,24,14,27.0,-3.0,1,7,2025_07_ATL_SF,SF,10,20,18.1,-8.100000000000001,0,-5.100000000000001,-5 to -3
6,CHI,2025_06_CHI_WAS,WAS,25,24,26.2,-1.1999999999999993,1,7,2025_07_NO_CHI,NO,26,14,21.7,4.300000000000001,1,5.5,-3 to 0
