season,week,game_id,team1,team1_score,team1_adj_score,team2,team2_score,team2_adj_score,actual_diff,adj_diff,luck_delta,lucky_team,lucky_team_score,lucky_team_adj_score,lucky_team_overperf,unlucky_team,unlucky_team_score,unlucky_team_adj_score,unlucky_team_underperf
2025,4,2025_04_CHI_LV,CHI,25,19.8,LV,24,25.6,1,-5.800000000000001,6.800000000000001,CHI,25,19.8,5.199999999999999,LV,24,25.6,-1.6000000000000014
2025,4,2025_04_CIN_DEN,CIN,3,15.6,DEN,28,26.7,-25,-11.1,13.9,DEN,28,26.7,1.3000000000000007,CIN,3,15.6,-12.6
2025,4,2025_04_CLE_DET,CLE,10,14.4,DET,34,21.6,-24,-7.200000000000001,16.799999999999997,DET,34,21.6,12.399999999999999,CLE,10,14.4,-4.4
2025,4,2025_04_GB_DAL,DAL,40,30.1,GB,40,30.3,0,-0.1999999999999993,0.1999999999999993,DAL,40,30.1,9.899999999999999,GB,40,30.3,9.7
2025,4,2025_04_IND_LA,IND,20,20.6,LA,27,27.9,-7,-7.299999999999997,0.29999999999999716,IND,20,20.6,-0.6000000000000014,LA,27,27.9,-0.8999999999999986
2025,4,2025_04_JAX_SF,JAX,26,22.7,SF,21,22.9,5,-0.1999999999999993,5.199999999999999,JAX,26,22.7,3.3000000000000007,SF,21,22.9,-1.8999999999999986
2025,4,2025_04_LAC_NYG,LAC,18,19.0,NYG,21,19.1,-3,-0.10000000000000142,2.8999999999999986,NYG,21,19.1,1.8999999999999986,LAC,18,19.0,-1.0
2025,4,2025_04_MIN_PIT,MIN,21,20.3,PIT,24,29.1,-3,-8.8,5.800000000000001,MIN,21,20.3,0.6999999999999993,PIT,24,29.1,-5.100000000000001
2025,4,2025_04_NO_BUF,BUF,31,23.9,NO,19,22.2,12,1.6999999999999993,10.3,BUF,31,23.9,7.100000000000001,NO,19,22.2,-3.1999999999999993
2025,4,2025_04_NYJ_MIA,MIA,27,19.5,NYJ,21,26.4,6,-6.899999999999999,12.899999999999999,MIA,27,19.5,7.5,NYJ,21,26.4,-5.399999999999999
2025,4,2025_04_PHI_TB,PHI,31,23.0,TB,25,20.6,6,2.3999999999999986,3.6000000000000014,PHI,31,23.0,8.0,TB,25,20.6,4.399999999999999
2025,4,2025_04_SEA_ARI,ARI,20,15.8,SEA,23,21.7,-3,-5.899999999999999,2.8999999999999986,ARI,20,15.8,4.199999999999999,SEA,23,21.7,1.3000000000000007
2025,4,2025_04_TEN_HOU,HOU,26,19.2,TEN,0,12.0,26,7.199999999999999,18.8,HOU,26,19.2,6.800000000000001,TEN,0,12.0,-12.0
2025,4,2025_04_WAS_ATL,ATL,34,26.2,WAS,27,23.0,7,3.1999999999999993,3.8000000000000007,ATL,34,26.2,7.800000000000001,WAS,27,23.0,4.0
2025,5,2025_05_DAL_NYJ,DAL,37,26.8,NYJ,22,19.7,15,7.100000000000001,7.899999999999999,DAL,37,26.8,10.2,NYJ,22,19.7,2.3000000000000007
2025,5,2025_05_DEN_PHI,DEN,21,26.3,PHI,17,19.8,4,6.5,2.5,PHI,17,19.8,-2.8000000000000007,DEN,21,26.3,-5.300000000000001
2025,5,2025_05_DET_CIN,CIN,24,17.1,DET,37,31.7,-13,-14.599999999999998,1.5999999999999979,CIN,24,17.1,6.899999999999999,DET,37,31.7,5.300000000000001
2025,5,2025_05_HOU_BAL,BAL,10,16.0,HOU,44,34.9,-34,-18.9,15.100000000000001,HOU,44,34.9,9.100000000000001,BAL,10,16.0,-6.0
2025,5,2025_05_KC_JAX,JAX,31,22.7,KC,28,32.8,3,-10.099999999999998,13.099999999999998,JAX,31,22.7,8.3,KC,28,32.8,-4.799999999999997
2025,5,2025_05_LV_IND,IND,40,26.8,LV,6,16.1,34,10.7,23.3,IND,40,26.8,13.2,LV,6,16.1,-10.100000000000001
2025,5,2025_05_MIA_CAR,CAR,27,23.0,MIA,24,18.2,3,4.800000000000001,1.8000000000000007,MIA,24,18.2,5.800000000000001,CAR,27,23.0,4.0
2025,5,2025_05_MIN_CLE,CLE,17,19.2,MIN,21,26.5,-4,-7.300000000000001,3.3000000000000007,CLE,17,19.2,-2.1999999999999993,MIN,21,26.5,-5.5
2025,5,2025_05_NE_BUF,BUF,20,24.3,NE,23,22.5,-3,1.8000000000000007,4.800000000000001,NE,23,22.5,0.5,BUF,20,24.3,-4.300000000000001
2025,5,2025_05_NYG_NO,NO,26,23.5,NYG,14,19.9,12,3.6000000000000014,8.399999999999999,NO,26,23.5,2.5,NYG,14,19.9,-5.899999999999999
2025,5,2025_05_SF_LA,LA,23,32.0,SF,26,26.9,-3,5.100000000000001,8.100000000000001,SF,26,26.9,-0.8999999999999986,LA,23,32.0,-9.0
2025,5,2025_05_TB_SEA,SEA,35,30.7,TB,38,27.2,-3,3.5,6.5,TB,38,27.2,10.8,SEA,35,30.7,4.300000000000001
2025,5,2025_05_TEN_ARI,ARI,21,19.6,TEN,22,25.1,-1,-5.5,4.5,ARI,21,19.6,1.3999999999999986,TEN,22,25.1,-3.1000000000000014
2025,5,2025_05_WAS_LAC,LAC,10,12.7,WAS,27,28.0,-17,-15.3,1.6999999999999993,WAS,27,28.0,-1.0,LAC,10,12.7,-2.6999999999999993
2025,6,2025_06_ARI_IND,ARI,27,24.6,IND,31,27.1,-4,-2.5,1.5,IND,31,27.1,3.8999999999999986,ARI,27,24.6,2.3999999999999986
2025,6,2025_06_BUF_ATL,ATL,24,27.0,BUF,14,22.1,10,4.899999999999999,5.100000000000001,ATL,24,27.0,-3.0,BUF,14,22.1,-8.100000000000001
2025,6,2025_06_CHI_WAS,CHI,25,26.2,WAS,24,21.2,1,5.0,4.0,WAS,24,21.2,2.8000000000000007,CHI,25,26.2,-1.1999999999999993
2025,6,2025_06_CIN_GB,CIN,18,24.3,GB,27,29.4,-9,-5.099999999999998,3.900000000000002,GB,27,29.4,-2.3999999999999986,CIN,18,24.3,-6.300000000000001
2025,6,2025_06_CLE_PIT,CLE,9,14.7,PIT,23,18.2,-14,-3.5,10.5,PIT,23,18.2,4.800000000000001,CLE,9,14.7,-5.699999999999999
2025,6,2025_06_DAL_CAR,CAR,30,28.7,DAL,27,19.7,3,9.0,6.0,DAL,27,19.7,7.300000000000001,CAR,30,28.7,1.3000000000000007
2025,6,2025_06_DEN_NYJ,DEN,13,16.1,NYJ,11,7.9,2,8.200000000000001,6.200000000000001,NYJ,11,7.9,3.0999999999999996,DEN,13,16.1,-3.1000000000000014
2025,6,2025_06_DET_KC,DET,17,25.2,KC,30,29.4,-13,-4.199999999999999,8.8,KC,30,29.4,0.6000000000000014,DET,17,25.2,-8.2
2025,6,2025_06_LAC_MIA,LAC,29,22.6,MIA,27,21.1,2,1.5,0.5,LAC,29,22.6,6.399999999999999,MIA,27,21.1,5.899999999999999
2025,6,2025_06_LA_BAL,BAL,3,15.4,LA,17,23.2,-14,-7.799999999999999,6.200000000000001,LA,17,23.2,-6.199999999999999,BAL,3,15.4,-12.4
2025,6,2025_06_NE_NO,NE,25,21.2,NO,19,20.2,6,1.0,5.0,NE,25,21.2,3.8000000000000007,NO,19,20.2,-1.1999999999999993
2025,6,2025_06_PHI_NYG,NYG,34,24.2,PHI,17,21.1,17,3.099999999999998,13.900000000000002,NYG,34,24.2,9.8,PHI,17,21.1,-4.100000000000001
2025,6,2025_06_SEA_JAX,JAX,12,18.1,SEA,20,21.6,-8,-3.5,4.5,SEA,20,21.6,-1.6000000000000014,JAX,12,18.1,-6.100000000000001
2025,6,2025_06_SF_TB,SF,19,21.0,TB,30,26.8,-11,-5.800000000000001,5.199999999999999,TB,30,26.8,3.1999999999999993,SF,19,21.0,-2.0
2025,6,2025_06_TEN_LV,LV,20,20.2,TEN,10,12.1,10,8.1,1.9000000000000004,LV,20,20.2,-0.1999999999999993,TEN,10,12.1,-2.0999999999999996
2025,7,2025_07_ATL_SF,ATL,10,18.1,SF,20,23.7,-10,-5.599999999999998,4.400000000000002,SF,20,23.7,-3.6999999999999993,ATL,10,18.1,-8.100000000000001
2025,7,2025_07_CAR_NYJ,CAR,13,17.6,NYJ,6,12.0,7,5.600000000000001,1.3999999999999986,CAR,13,17.6,-4.600000000000001,NYJ,6,12.0,-6.0
2025,7,2025_07_GB_ARI,ARI,23,19.6,GB,27,24.8,-4,-5.199999999999999,1.1999999999999993,ARI,23,19.6,3.3999999999999986,GB,27,24.8,2.1999999999999993
2025,7,2025_07_HOU_SEA,HOU,19,19.5,SEA,27,23.3,-8,-3.8000000000000007,4.199999999999999,SEA,27,23.3,3.6999999999999993,HOU,19,19.5,-0.5
