original_week,luck_delta,lucky_team,lucky_team_overperf,lucky_next_score,lucky_next_adj_score,lucky_next_diff,lucky_won_next,unlucky_team,unlucky_team_underperf,unlucky_next_score,unlucky_next_adj_score,unlucky_next_diff,unlucky_won_next,luck_bin
3,14.899999999999999,MIN,17.3,21,20.3,0.6999999999999993,0,CIN,2.4000000000000004,3,15.6,-12.6,0,10 to 15
3,13.5,CHI,4.100000000000001,25,19.8,5.199999999999999,1,DAL,-9.399999999999999,40,30.1,9.899999999999999,0,10 to 15
3,6.199999999999999,DEN,7.199999999999999,28,26.7,1.3000000000000007,1,LAC,1.0,18,19.0,-1.0,0,3 to 7
3,1.3999999999999986,BAL,6.0,20,18.6,1.3999999999999986,0,DET,4.600000000000001,34,21.6,12.399999999999999,1,0 to 3
3,2.9000000000000004,CLE,-1.5,10,14.4,-4.4,0,GB,-4.4,40,30.3,9.7,0,0 to 3
3,3.1999999999999993,JAX,-4.0,26,22.7,3.3000000000000007,1,HOU,-7.199999999999999,26,19.2,6.800000000000001,1,3 to 7
3,6.600000000000001,IND,10.8,20,20.6,-0.6000000000000014,0,TEN,4.199999999999999,0,12.0,-12.0,0,3 to 7
3,6.399999999999999,KC,-3.0,37,25.6,11.399999999999999,1,NYG,-9.399999999999999,21,19.1,1.8999999999999986,1,3 to 7
3,10.200000000000003,PHI,11.600000000000001,31,23.0,8.0,1,LA,1.3999999999999986,27,27.9,-0.8999999999999986,1,10 to 15
3,1.9999999999999982,WAS,12.899999999999999,27,23.0,4.0,0,LV,10.9,24,25.6,-1.6000000000000014,0,0 to 3
3,0.5,MIA,3.6999999999999993,27,19.5,7.5,1,BUF,3.1999999999999993,31,23.9,7.100000000000001,1,0 to 3
3,23.2,SEA,14.2,23,21.7,1.3000000000000007,1,NO,-9.0,19,22.2,-3.1999999999999993,0,15+
3,6.0,TB,12.8,25,20.6,4.399999999999999,0,NYJ,6.800000000000001,21,26.4,-5.399999999999999,0,3 to 7
3,8.2,PIT,-0.5,24,29.1,-5.100000000000001,1,NE,-8.7,42,24.4,17.6,1,7 to 10
4,10.0,KC,11.399999999999999,28,32.8,-4.799999999999997,0,BAL,1.3999999999999986,10,16.0,-6.0,0,7 to 10
4,27.5,NE,17.6,23,22.5,0.5,1,CAR,-9.899999999999999,27,23.0,4.0,1,15+
4,13.9,DEN,1.3000000000000007,21,26.3,-5.300000000000001,1,CIN,-12.6,24,17.1,6.899999999999999,0,10 to 15
4,16.799999999999997,DET,12.399999999999999,37,31.7,5.300000000000001,1,CLE,-4.4,17,19.2,-2.1999999999999993,0,15+
4,0.29999999999999716,IND,-0.6000000000000014,40,26.8,13.2,1,LA,-0.8999999999999986,23,32.0,-9.0,0,0 to 3
4,5.199999999999999,JAX,3.3000000000000007,31,22.7,8.3,1,SF,-1.8999999999999986,26,26.9,-0.8999999999999986,1,3 to 7
4,2.8999999999999986,NYG,1.8999999999999986,14,19.9,-5.899999999999999,0,LAC,-1.0,10,12.7,-2.6999999999999993,0,0 to 3
4,10.3,BUF,7.100000000000001,20,24.3,-4.300000000000001,0,NO,-3.1999999999999993,26,23.5,2.5,1,10 to 15
4,12.899999999999999,MIA,7.5,24,18.2,5.800000000000001,0,NYJ,-5.399999999999999,22,19.7,2.3000000000000007,0,10 to 15
4,3.6000000000000014,PHI,8.0,17,19.8,-2.8000000000000007,0,TB,4.399999999999999,38,27.2,10.8,1,3 to 7
4,2.8999999999999986,ARI,4.199999999999999,21,19.6,1.3999999999999986,0,SEA,1.3000000000000007,35,30.7,4.300000000000001,0,0 to 3
4,18.8,HOU,6.800000000000001,44,34.9,9.100000000000001,1,TEN,-12.0,22,25.1,-3.1000000000000014,1,15+
5,7.899999999999999,DAL,10.2,27,19.7,7.300000000000001,0,NYJ,2.3000000000000007,11,7.9,3.0999999999999996,0,7 to 10
5,2.5,PHI,-2.8000000000000007,17,21.1,-4.100000000000001,0,DEN,-5.300000000000001,13,16.1,-3.1000000000000014,1,0 to 3
5,1.5999999999999979,CIN,6.899999999999999,18,24.3,-6.300000000000001,0,DET,5.300000000000001,17,25.2,-8.2,0,0 to 3
5,13.099999999999998,JAX,8.3,12,18.1,-6.100000000000001,0,KC,-4.799999999999997,30,29.4,0.6000000000000014,1,10 to 15
5,23.3,IND,13.2,31,27.1,3.8999999999999986,1,LV,-10.100000000000001,20,20.2,-0.1999999999999993,1,15+
5,1.8000000000000007,MIA,5.800000000000001,27,21.1,5.899999999999999,0,CAR,4.0,30,28.7,1.3000000000000007,1,0 to 3
5,4.800000000000001,NE,0.5,25,21.2,3.8000000000000007,1,BUF,-4.300000000000001,14,22.1,-8.100000000000001,0,3 to 7
5,8.399999999999999,NO,2.5,19,20.2,-1.1999999999999993,0,NYG,-5.899999999999999,34,24.2,9.8,1,7 to 10
5,8.100000000000001,SF,-0.8999999999999986,19,21.0,-2.0,0,LA,-9.0,17,23.2,-6.199999999999999,1,7 to 10
5,6.5,TB,10.8,30,26.8,3.1999999999999993,1,SEA,4.300000000000001,20,21.6,-1.6000000000000014,1,3 to 7
5,4.5,ARI,1.3999999999999986,27,24.6,2.3999999999999986,0,TEN,-3.1000000000000014,10,12.1,-2.0999999999999996,0,3 to 7
5,1.6999999999999993,WAS,-1.0,24,21.2,2.8000000000000007,0,LAC,-2.6999999999999993,29,22.6,6.399999999999999,1,0 to 3
6,1.5,IND,3.8999999999999986,38,28.9,9.100000000000001,1,ARI,2.3999999999999986,23,19.6,3.3999999999999986,0,0 to 3
6,4.0,WAS,2.8000000000000007,22,23.9,-1.8999999999999986,0,CHI,-1.1999999999999993,26,21.7,4.300000000000001,1,3 to 7
6,3.900000000000002,GB,-2.3999999999999986,27,24.8,2.1999999999999993,1,CIN,-6.300000000000001,33,28.9,4.100000000000001,1,3 to 7
6,10.5,PIT,4.800000000000001,31,24.8,6.199999999999999,0,CLE,-5.699999999999999,31,17.0,14.0,1,10 to 15
6,6.0,DAL,7.300000000000001,44,28.0,16.0,1,CAR,1.3000000000000007,13,17.6,-4.600000000000001,1,3 to 7
6,6.200000000000001,NYJ,3.0999999999999996,6,12.0,-6.0,0,DEN,-3.1000000000000014,33,24.3,8.7,1,3 to 7
6,8.8,KC,0.6000000000000014,31,30.7,0.3000000000000007,1,DET,-8.2,24,22.9,1.1000000000000014,1,7 to 10
6,0.5,LAC,6.399999999999999,24,22.1,1.8999999999999986,0,MIA,5.899999999999999,6,8.3,-2.3000000000000007,0,0 to 3
