player,market,line,best_over_odds,best_over_book,best_over_implied,best_over_last_update,best_under_odds,best_under_book,best_under_implied,best_under_last_update,total_prob,expected_profit_pct,is_arb,over_stake,under_stake,over_return,under_return,guaranteed_profit,total_wager,recommendation,game,game_time,game_is_live,num_bookmakers,over_staleness_minutes,under_staleness_minutes,max_staleness,is_stale,stale_bookmaker,fetch_time_et
Luguentz Dort,player_points,8.5,110,bovada,0.4761904761904762,09:50:25 PM ET,124,draftkings,0.44642857142857145,09:50:20 PM ET,0.9226190476190477,8.387096774193537,True,51.61,48.39,108.38,108.39,8.38,100.0,"Bet $51.61 Over @ bovada, $48.39 Under @ draftkings",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,2,0.4113291,0.4946624333333334,0.4946624333333334,False,,2025-12-23 21:50:49 ET
Anthony Davis,player_points,26.5,165,bovada,0.37735849056603776,09:46:25 PM ET,-120,fanduel,0.5454545454545454,09:49:06 PM ET,0.9228130360205832,8.364312267657992,True,40.89,59.11,108.36,108.37,8.36,100.0,"Bet $40.89 Over @ bovada, $59.11 Under @ fanduel",Denver Nuggets @ Dallas Mavericks,2025-12-24T01:11:00Z,True,2,4.411329100000001,1.7279957666666665,4.411329100000001,True,bovada,2025-12-23 21:50:49 ET
Nickeil Alexander-Walker,player_points,21.5,150,bovada,0.4,09:50:02 PM ET,-110,draftkings,0.5238095238095238,09:47:57 PM ET,0.9238095238095239,8.247422680412363,True,43.3,56.7,108.25,108.25,8.25,100.0,"Bet $43.30 Over @ bovada, $56.70 Under @ draftkings",Chicago Bulls @ Atlanta Hawks,2025-12-24T00:41:00Z,True,3,0.7946624333333333,2.8779957666666665,2.8779957666666665,True,draftkings,2025-12-23 21:50:49 ET
Kyle Filipowski,player_rebounds,10.5,135,bovada,0.42553191489361697,09:49:08 PM ET,100,fanduel,0.5,09:50:25 PM ET,0.925531914893617,8.045977011494255,True,45.98,54.02,108.05,108.04,8.04,100.0,"Bet $45.98 Over @ bovada, $54.02 Under @ fanduel",Memphis Grizzlies @ Utah Jazz,2025-12-24T02:12:00Z,True,4,1.6946624333333333,0.4113291,1.6946624333333333,False,,2025-12-23 21:50:49 ET
Shai Gilgeous-Alexander,player_assists,6.5,110,bovada,0.4761904761904761,09:50:25 PM ET,120,fanduel,0.45454545454545453,09:49:41 PM ET,0.9307359307359306,7.441860465116301,True,51.16,48.84,107.44,107.45,7.44,100.0,"Bet $51.16 Over @ bovada, $48.84 Under @ fanduel",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,2,0.4113291,1.1446624333333333,1.1446624333333333,False,,2025-12-23 21:50:49 ET
Mark Williams,player_points,12.5,140,bovada,0.41666666666666674,09:49:58 PM ET,-106,williamhill_us,0.5145631067961165,09:50:04 PM ET,0.9312297734627832,7.384882710686358,True,44.74,55.26,107.38,107.39,7.38,100.0,"Bet $44.74 Over @ bovada, $55.26 Under @ williamhill_us",Los Angeles Lakers @ Phoenix Suns,2025-12-24T02:11:00Z,True,4,0.8613291000000001,0.7613291,0.8613291000000001,False,,2025-12-23 21:50:49 ET
Royce O'Neale,player_points,12.5,160,bovada,0.3846153846153846,09:49:58 PM ET,-121,williamhill_us,0.5475113122171946,09:50:04 PM ET,0.9321266968325792,7.281553398058249,True,41.26,58.74,107.28,107.29,7.28,100.0,"Bet $41.26 Over @ bovada, $58.74 Under @ williamhill_us",Los Angeles Lakers @ Phoenix Suns,2025-12-24T02:11:00Z,True,3,0.8613291000000001,0.7613291,0.8613291000000001,False,,2025-12-23 21:50:49 ET
Chet Holmgren,player_points,14.5,100,fanduel,0.49999999999999994,09:49:41 PM ET,130,bovada,0.43478260869565216,09:50:25 PM ET,0.9347826086956521,6.976744186046524,True,53.49,46.51,106.98,106.97,6.97,100.0,"Bet $53.49 Over @ fanduel, $46.51 Under @ bovada",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,4,1.1446624333333333,0.4113291,1.1446624333333333,False,,2025-12-23 21:50:49 ET
Devin Vassell,player_points,15.5,150,bovada,0.4,09:50:25 PM ET,-115,draftkings,0.5348837209302325,09:50:20 PM ET,0.9348837209302325,6.9651741293532465,True,42.79,57.21,106.98,106.96,6.96,100.0,"Bet $42.79 Over @ bovada, $57.21 Under @ draftkings",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,4,0.4113291,0.4946624333333334,0.4946624333333334,False,,2025-12-23 21:50:49 ET
Stephon Castle,player_threes,1.5,140,bovada,0.41666666666666663,09:50:25 PM ET,-110,draftkings,0.5238095238095238,09:50:20 PM ET,0.9404761904761905,6.329113924050644,True,44.3,55.7,106.32,106.34,6.32,100.0,"Bet $44.30 Over @ bovada, $55.70 Under @ draftkings",Oklahoma City Thunder @ San Antonio Spurs,2025-12-24T01:41:00Z,True,3,0.4113291,0.4946624333333334,0.4946624333333334,False,,2025-12-23 21:50:49 ET
Trae Young,player_points,24.5,170,bovada,0.37037037037037035,09:50:02 PM ET,-134,williamhill_us,0.5726495726495726,09:46:21 PM ET,0.943019943019943,6.042296072507569,True,39.27,60.73,106.03,106.05,6.03,100.0,"Bet $39.27 Over @ bovada, $60.73 Under @ williamhill_us",Chicago Bulls @ Atlanta Hawks,2025-12-24T00:41:00Z,True,2,0.7946624333333333,4.477995766666667,4.477995766666667,True,williamhill_us,2025-12-23 21:50:49 ET
Keyonte George,player_assists,7.5,130,bovada,0.4347826086956521,09:49:08 PM ET,-104,fanduel,0.5098039215686274,09:50:25 PM ET,0.9445865302642795,5.8664259927798,True,46.03,53.97,105.87,105.86,5.86,100.0,"Bet $46.03 Over @ bovada, $53.97 Under @ fanduel",Memphis Grizzlies @ Utah Jazz,2025-12-24T02:12:00Z,True,4,1.6946624333333333,0.4113291,1.6946624333333333,False,,2025-12-23 21:50:49 ET
Trae Young,player_assists,16.5,182,fanduel,0.35460992907801425,09:50:07 PM ET,-145,draftkings,0.5918367346938775,09:47:57 PM ET,0.9464466637718918,5.658357547025528,True,37.47,62.53,105.67,105.65,5.65,100.0,"Bet $37.47 Over @ fanduel, $62.53 Under @ draftkings",Chicago Bulls @ Atlanta Hawks,2025-12-24T00:41:00Z,True,3,0.7113291,2.8779957666666665,2.8779957666666665,True,draftkings,2025-12-23 21:50:49 ET
