player,away_team,home_team,game_time,market,prop_line,over_odds,under_odds,bookmaker,bookmaker_last_update,market_last_update,fetch_date,season,odds_api_event_id
Mikal Bridges,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,3.5,-106,-122,betonlineag,,2026-03-24T23:37:24Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Jordan Clarkson,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,1.5,-130,100,betonlineag,,2026-03-24T23:37:24Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Derik Queen,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,3.5,-147,113,betonlineag,,2026-03-24T23:37:24Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Jeremiah Fears,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,1.5,-169,130,betonlineag,,2026-03-24T23:37:24Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Saddiq Bey,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,5.5,107,-139,betonlineag,,2026-03-24T23:37:24Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Mitchell Robinson,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,9.5,115,-149,betonlineag,,2026-03-24T23:37:24Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Dejounte Murray,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,4.5,-145,110,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Dejounte Murray,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,5.5,130,-170,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Derik Queen,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,3.5,-145,110,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Derik Queen,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,4.5,140,-185,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Herb Jones,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,2.5,-170,130,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Herb Jones,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,3.5,135,-180,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Jalen Brunson,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,2.5,-180,135,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Jalen Brunson,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,3.5,130,-170,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Josh Hart,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,6.5,-190,145,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Josh Hart,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,7.5,-110,-120,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Josh Hart,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,8.5,150,-200,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Karl-Anthony Towns,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,10.5,-230,170,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Karl-Anthony Towns,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,11.5,-145,110,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Karl-Anthony Towns,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,12.5,105,-135,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Karl-Anthony Towns,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,13.5,155,-210,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Mikal Bridges,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,2.5,-280,205,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Mikal Bridges,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,3.5,-120,-110,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Mikal Bridges,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,4.5,170,-230,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
Mitchell Robinson,New Orleans Pelicans,New York Knicks,2026-03-24T23:41:00Z,player_rebounds,7.5,-250,185,bovada,,2026-03-24T23:38:03Z,20260324T233822Z,2025-26,3ffbb865981907829bb58d7f86351ba0
