team,game_date,opponent,location,spread,actual_margin,ats_margin,ats_result,fav_dog,team_points,opp_points
Charlotte Hornets,2025-11-19,Indiana Pacers,Away,-1.5,-9,-10.5,L,Favorite,118,127
Indiana Pacers,2025-11-19,Charlotte Hornets,Home,1.5,9,10.5,W,Underdog,127,118
New Orleans Pelicans,2025-10-31,LA Clippers,Away,10.5,-2,8.5,W,Underdog,124,126
LA Clippers,2025-10-31,New Orleans Pelicans,Home,-10.5,2,-8.5,L,Favorite,126,124
Phoenix Suns,2025-11-04,Golden State Warriors,Away,10.5,-11,-0.5,L,Underdog,107,118
Golden State Warriors,2025-11-04,Phoenix Suns,Home,-10.5,11,0.5,W,Favorite,118,107
Denver Nuggets,2025-12-27,Orlando Magic,Away,-3.5,-1,-4.5,L,Favorite,126,127
Orlando Magic,2025-12-27,Denver Nuggets,Home,3.5,1,4.5,W,Underdog,127,126
Utah Jazz,2025-11-02,Charlotte Hornets,Away,-1.5,-23,-24.5,L,Favorite,103,126
Charlotte Hornets,2025-11-02,Utah Jazz,Home,1.5,23,24.5,W,Underdog,126,103
Charlotte Hornets,2025-12-26,Orlando Magic,Away,5.5,15,20.5,W,Underdog,120,105
Orlando Magic,2025-12-26,Charlotte Hornets,Home,-5.5,-15,-20.5,L,Favorite,105,120
Washington Wizards,2025-12-14,Indiana Pacers,Away,10.5,19,29.5,W,Underdog,108,89
Indiana Pacers,2025-12-14,Washington Wizards,Home,-10.5,-19,-29.5,L,Favorite,89,108
New York Knicks,2025-12-29,New Orleans Pelicans,Away,-8.5,5,-3.5,L,Favorite,130,125
New Orleans Pelicans,2025-12-29,New York Knicks,Home,8.5,-5,3.5,W,Underdog,125,130
Utah Jazz,2025-11-24,Golden State Warriors,Away,13.5,-17,-3.5,L,Underdog,117,134
Golden State Warriors,2025-11-24,Utah Jazz,Home,-13.5,17,3.5,W,Favorite,134,117
New York Knicks,2025-11-24,Brooklyn Nets,Away,-12.5,13,0.5,W,Favorite,113,100
Brooklyn Nets,2025-11-24,New York Knicks,Home,12.5,-13,-0.5,L,Underdog,100,113
Phoenix Suns,2025-12-29,Washington Wizards,Away,-10.5,14,3.5,W,Favorite,115,101
Washington Wizards,2025-12-29,Phoenix Suns,Home,10.5,-14,-3.5,L,Underdog,101,115
San Antonio Spurs,2025-11-02,Phoenix Suns,Away,-5.5,-12,-17.5,L,Favorite,118,130
Phoenix Suns,2025-11-02,San Antonio Spurs,Home,5.5,12,17.5,W,Underdog,130,118
New Orleans Pelicans,2025-12-23,Cleveland Cavaliers,Away,9.5,-23,-13.5,L,Underdog,118,141
Cleveland Cavaliers,2025-12-23,New Orleans Pelicans,Home,-9.5,23,13.5,W,Favorite,141,118
Houston Rockets,2025-11-26,Golden State Warriors,Away,3.5,4,7.5,W,Underdog,104,100
Golden State Warriors,2025-11-26,Houston Rockets,Home,-3.5,-4,-7.5,L,Favorite,100,104
Miami Heat,2025-12-26,Atlanta Hawks,Away,2.5,15,17.5,W,Underdog,126,111
Atlanta Hawks,2025-12-26,Miami Heat,Home,-2.5,-15,-17.5,L,Favorite,111,126
Orlando Magic,2026-01-02,Chicago Bulls,Away,-5.5,-7,-12.5,L,Favorite,114,121
Chicago Bulls,2026-01-02,Orlando Magic,Home,5.5,7,12.5,W,Underdog,121,114
Memphis Grizzlies,2025-12-02,San Antonio Spurs,Away,5.5,-7,-1.5,L,Underdog,119,126
San Antonio Spurs,2025-12-02,Memphis Grizzlies,Home,-5.5,7,1.5,W,Favorite,126,119
Atlanta Hawks,2025-12-18,Charlotte Hornets,Away,-4.5,-7,-11.5,L,Favorite,126,133
Charlotte Hornets,2025-12-18,Atlanta Hawks,Home,4.5,7,11.5,W,Underdog,133,126
Washington Wizards,2025-11-12,Houston Rockets,Away,16.5,-23,-6.5,L,Underdog,112,135
Houston Rockets,2025-11-12,Washington Wizards,Home,-16.5,23,6.5,W,Favorite,135,112
Toronto Raptors,2025-10-22,Atlanta Hawks,Away,5.5,20,25.5,W,Underdog,138,118
Atlanta Hawks,2025-10-22,Toronto Raptors,Home,-5.5,-20,-25.5,L,Favorite,118,138
Charlotte Hornets,2025-11-04,New Orleans Pelicans,Away,2.5,-4,-1.5,L,Underdog,112,116
New Orleans Pelicans,2025-11-04,Charlotte Hornets,Home,-2.5,4,1.5,W,Favorite,116,112
Indiana Pacers,2025-11-08,Denver Nuggets,Away,9.5,-17,-7.5,L,Underdog,100,117
Denver Nuggets,2025-11-08,Indiana Pacers,Home,-9.5,17,7.5,W,Favorite,117,100
Denver Nuggets,2025-11-15,Minnesota Timberwolves,Away,-1.5,11,9.5,W,Favorite,123,112
Minnesota Timberwolves,2025-11-15,Denver Nuggets,Home,1.5,-11,-9.5,L,Underdog,112,123
Houston Rockets,2026-01-01,Brooklyn Nets,Away,-13.5,24,10.5,W,Favorite,120,96
Brooklyn Nets,2026-01-01,Houston Rockets,Home,13.5,-24,-10.5,L,Underdog,96,120
Houston Rockets,2026-01-03,Dallas Mavericks,Away,-7.5,-6,-13.5,L,Favorite,104,110
Dallas Mavericks,2026-01-03,Houston Rockets,Home,7.5,6,13.5,W,Underdog,110,104
Philadelphia 76ers,2026-01-01,Dallas Mavericks,Away,-2.5,15,12.5,W,Favorite,123,108
Dallas Mavericks,2026-01-01,Philadelphia 76ers,Home,2.5,-15,-12.5,L,Underdog,108,123
Chicago Bulls,2025-10-25,Orlando Magic,Away,5.5,12,17.5,W,Underdog,110,98
Orlando Magic,2025-10-25,Chicago Bulls,Home,-5.5,-12,-17.5,L,Favorite,98,110
Charlotte Hornets,2025-11-07,Miami Heat,Away,7.5,-18,-10.5,L,Underdog,108,126
Miami Heat,2025-11-07,Charlotte Hornets,Home,-7.5,18,10.5,W,Favorite,126,108
Golden State Warriors,2025-12-31,Charlotte Hornets,Away,-7.5,7,-0.5,L,Favorite,132,125
Charlotte Hornets,2025-12-31,Golden State Warriors,Home,7.5,-7,0.5,W,Underdog,125,132
Miami Heat,2025-11-05,Denver Nuggets,Away,9.5,-10,-0.5,L,Underdog,112,122
Denver Nuggets,2025-11-05,Miami Heat,Home,-9.5,10,0.5,W,Favorite,122,112
Houston Rockets,2025-12-25,Los Angeles Lakers,Away,-2.5,23,20.5,W,Favorite,119,96
Los Angeles Lakers,2025-12-25,Houston Rockets,Home,2.5,-23,-20.5,L,Underdog,96,119
Atlanta Hawks,2025-11-02,Cleveland Cavaliers,Away,6.5,-8,-1.5,L,Underdog,109,117
Cleveland Cavaliers,2025-11-02,Atlanta Hawks,Home,-6.5,8,1.5,W,Favorite,117,109
Portland Trail Blazers,2025-11-08,Miami Heat,Away,-3.5,-5,-8.5,L,Favorite,131,136
Miami Heat,2025-11-08,Portland Trail Blazers,Home,3.5,5,8.5,W,Underdog,136,131
Miami Heat,2025-10-30,San Antonio Spurs,Away,5.5,-6,-0.5,L,Underdog,101,107
San Antonio Spurs,2025-10-30,Miami Heat,Home,-5.5,6,0.5,W,Favorite,107,101
Boston Celtics,2026-01-01,Sacramento Kings,Away,-10.5,14,3.5,W,Favorite,120,106
Sacramento Kings,2026-01-01,Boston Celtics,Home,10.5,-14,-3.5,L,Underdog,106,120
LA Clippers,2025-12-26,Portland Trail Blazers,Away,-2.5,16,13.5,W,Favorite,119,103
Portland Trail Blazers,2025-12-26,LA Clippers,Home,2.5,-16,-13.5,L,Underdog,103,119
Los Angeles Lakers,2025-11-15,Milwaukee Bucks,Away,1.5,24,25.5,W,Underdog,119,95
Milwaukee Bucks,2025-11-15,Los Angeles Lakers,Home,-1.5,-24,-25.5,L,Favorite,95,119
Portland Trail Blazers,2025-12-20,Sacramento Kings,Away,-4.5,5,0.5,W,Favorite,98,93
Sacramento Kings,2025-12-20,Portland Trail Blazers,Home,4.5,-5,-0.5,L,Underdog,93,98
Utah Jazz,2025-12-04,Brooklyn Nets,Away,-5.5,13,7.5,W,Favorite,123,110
Brooklyn Nets,2025-12-04,Utah Jazz,Home,5.5,-13,-7.5,L,Underdog,110,123
Golden State Warriors,2025-12-28,Toronto Raptors,Away,-4.5,-14,-18.5,L,Favorite,127,141
Toronto Raptors,2025-12-28,Golden State Warriors,Home,4.5,14,18.5,W,Underdog,141,127
New York Knicks,2025-12-31,San Antonio Spurs,Away,3.5,-2,1.5,W,Underdog,132,134
San Antonio Spurs,2025-12-31,New York Knicks,Home,-3.5,2,-1.5,L,Favorite,134,132
Los Angeles Lakers,2025-12-23,Phoenix Suns,Away,2.5,-24,-21.5,L,Underdog,108,132
Phoenix Suns,2025-12-23,Los Angeles Lakers,Home,-2.5,24,21.5,W,Favorite,132,108
New York Knicks,2025-10-31,Chicago Bulls,Away,-5.5,-10,-15.5,L,Favorite,125,135
Chicago Bulls,2025-10-31,New York Knicks,Home,5.5,10,15.5,W,Underdog,135,125
Golden State Warriors,2025-12-06,Cleveland Cavaliers,Away,8.5,5,13.5,W,Underdog,99,94
Cleveland Cavaliers,2025-12-06,Golden State Warriors,Home,-8.5,-5,-13.5,L,Favorite,94,99
Utah Jazz,2026-01-01,LA Clippers,Away,14.5,-17,-2.5,L,Underdog,101,118
LA Clippers,2026-01-01,Utah Jazz,Home,-14.5,17,2.5,W,Favorite,118,101
Golden State Warriors,2025-10-21,Los Angeles Lakers,Away,-2.5,10,7.5,W,Favorite,119,109
Los Angeles Lakers,2025-10-21,Golden State Warriors,Home,2.5,-10,-7.5,L,Underdog,109,119
LA Clippers,2025-10-22,Utah Jazz,Away,-10.5,-21,-31.5,L,Favorite,108,129
Utah Jazz,2025-10-22,LA Clippers,Home,10.5,21,31.5,W,Underdog,129,108
Houston Rockets,2025-11-09,Milwaukee Bucks,Away,-4.5,7,2.5,W,Favorite,122,115
Milwaukee Bucks,2025-11-09,Houston Rockets,Home,4.5,-7,-2.5,L,Underdog,115,122
Indiana Pacers,2025-11-13,Phoenix Suns,Away,3.5,-35,-31.5,L,Underdog,98,133
Phoenix Suns,2025-11-13,Indiana Pacers,Home,-3.5,35,31.5,W,Favorite,133,98
Washington Wizards,2025-10-30,Oklahoma City Thunder,Away,15.5,-19,-3.5,L,Underdog,108,127
Oklahoma City Thunder,2025-10-30,Washington Wizards,Home,-15.5,19,3.5,W,Favorite,127,108
San Antonio Spurs,2025-11-28,Denver Nuggets,Away,7.5,3,10.5,W,Underdog,139,136
Denver Nuggets,2025-11-28,San Antonio Spurs,Home,-7.5,-3,-10.5,L,Favorite,136,139
New York Knicks,2025-10-26,Miami Heat,Away,-2.5,-8,-10.5,L,Favorite,107,115
Miami Heat,2025-10-26,New York Knicks,Home,2.5,8,10.5,W,Underdog,115,107
Phoenix Suns,2025-11-18,Portland Trail Blazers,Away,2.5,17,19.5,W,Underdog,127,110
Portland Trail Blazers,2025-11-18,Phoenix Suns,Home,-2.5,-17,-19.5,L,Favorite,110,127
Toronto Raptors,2025-11-30,New York Knicks,Away,8.5,-22,-13.5,L,Underdog,94,116
New York Knicks,2025-11-30,Toronto Raptors,Home,-8.5,22,13.5,W,Favorite,116,94
Miami Heat,2025-11-03,LA Clippers,Away,7.5,1,8.5,W,Underdog,120,119
LA Clippers,2025-11-03,Miami Heat,Home,-7.5,-1,-8.5,L,Favorite,119,120
Dallas Mavericks,2025-11-07,Memphis Grizzlies,Away,4.5,-14,-9.5,L,Underdog,104,118
Memphis Grizzlies,2025-11-07,Dallas Mavericks,Home,-4.5,14,9.5,W,Favorite,118,104
Chicago Bulls,2025-11-02,New York Knicks,Away,7.5,-12,-4.5,L,Underdog,116,128
New York Knicks,2025-11-02,Chicago Bulls,Home,-7.5,12,4.5,W,Favorite,128,116
Denver Nuggets,2025-12-23,Dallas Mavericks,Away,-6.5,-1,-7.5,L,Favorite,130,131
Dallas Mavericks,2025-12-23,Denver Nuggets,Home,6.5,1,7.5,W,Underdog,131,130
Sacramento Kings,2025-10-29,Chicago Bulls,Away,4.5,-13,-8.5,L,Underdog,113,126
Chicago Bulls,2025-10-29,Sacramento Kings,Home,-4.5,13,8.5,W,Favorite,126,113
Detroit Pistons,2025-11-26,Boston Celtics,Away,-2.5,-3,-5.5,L,Favorite,114,117
Boston Celtics,2025-11-26,Detroit Pistons,Home,2.5,3,5.5,W,Underdog,117,114
Orlando Magic,2025-12-23,Portland Trail Blazers,Away,-1.5,4,2.5,W,Favorite,110,106
Portland Trail Blazers,2025-12-23,Orlando Magic,Home,1.5,-4,-2.5,L,Underdog,106,110
New York Knicks,2025-12-23,Minnesota Timberwolves,Away,7.5,-11,-3.5,L,Underdog,104,115
Minnesota Timberwolves,2025-12-23,New York Knicks,Home,-7.5,11,3.5,W,Favorite,115,104
Portland Trail Blazers,2025-11-14,Houston Rockets,Away,7.5,-24,-16.5,L,Underdog,116,140
Houston Rockets,2025-11-14,Portland Trail Blazers,Home,-7.5,24,16.5,W,Favorite,140,116
Toronto Raptors,2025-11-15,Indiana Pacers,Away,-6.5,18,11.5,W,Favorite,129,111
Indiana Pacers,2025-11-15,Toronto Raptors,Home,6.5,-18,-11.5,L,Underdog,111,129
Los Angeles Lakers,2025-12-18,Utah Jazz,Away,-9.5,8,-1.5,L,Favorite,143,135
Utah Jazz,2025-12-18,Los Angeles Lakers,Home,9.5,-8,1.5,W,Underdog,135,143
San Antonio Spurs,2025-10-22,Dallas Mavericks,Away,4.5,33,37.5,W,Underdog,125,92
Dallas Mavericks,2025-10-22,San Antonio Spurs,Home,-4.5,-33,-37.5,L,Favorite,92,125
Utah Jazz,2025-12-27,San Antonio Spurs,Away,14.5,13,27.5,W,Underdog,127,114
San Antonio Spurs,2025-12-27,Utah Jazz,Home,-14.5,-13,-27.5,L,Favorite,114,127
Sacramento Kings,2025-10-28,Oklahoma City Thunder,Away,8.5,-6,2.5,W,Underdog,101,107
Oklahoma City Thunder,2025-10-28,Sacramento Kings,Home,-8.5,6,-2.5,L,Favorite,107,101
Atlanta Hawks,2025-10-31,Indiana Pacers,Away,-2.5,20,17.5,W,Favorite,128,108
Indiana Pacers,2025-10-31,Atlanta Hawks,Home,2.5,-20,-17.5,L,Underdog,108,128
Philadelphia 76ers,2025-11-14,Detroit Pistons,Away,1.5,-9,-7.5,L,Underdog,105,114
Detroit Pistons,2025-11-14,Philadelphia 76ers,Home,-1.5,9,7.5,W,Favorite,114,105
LA Clippers,2025-12-05,Memphis Grizzlies,Away,-2.5,-9,-11.5,L,Favorite,98,107
Memphis Grizzlies,2025-12-05,LA Clippers,Home,2.5,9,11.5,W,Underdog,107,98
Miami Heat,2025-12-18,Brooklyn Nets,Away,-7.5,11,3.5,W,Favorite,106,95
Brooklyn Nets,2025-12-18,Miami Heat,Home,7.5,-11,-3.5,L,Underdog,95,106
Boston Celtics,2025-11-09,Orlando Magic,Away,3.5,4,7.5,W,Underdog,111,107
Orlando Magic,2025-11-09,Boston Celtics,Home,-3.5,-4,-7.5,L,Favorite,107,111
New Orleans Pelicans,2025-11-10,Phoenix Suns,Away,8.5,-23,-14.5,L,Underdog,98,121
Phoenix Suns,2025-11-10,New Orleans Pelicans,Home,-8.5,23,14.5,W,Favorite,121,98
Atlanta Hawks,2025-12-12,Detroit Pistons,Away,6.5,-27,-20.5,L,Underdog,115,142
Detroit Pistons,2025-12-12,Atlanta Hawks,Home,-6.5,27,20.5,W,Favorite,142,115
Toronto Raptors,2025-11-19,Philadelphia 76ers,Away,-2.5,9,6.5,W,Favorite,121,112
Philadelphia 76ers,2025-11-19,Toronto Raptors,Home,2.5,-9,-6.5,L,Underdog,112,121
Minnesota Timberwolves,2025-11-10,Utah Jazz,Away,-7.5,7,-0.5,L,Favorite,120,113
Utah Jazz,2025-11-10,Minnesota Timberwolves,Home,7.5,-7,0.5,W,Underdog,113,120
Detroit Pistons,2025-12-18,Dallas Mavericks,Away,-5.5,-2,-7.5,L,Favorite,114,116
Dallas Mavericks,2025-12-18,Detroit Pistons,Home,5.5,2,7.5,W,Underdog,116,114
Sacramento Kings,2025-11-16,San Antonio Spurs,Away,6.5,-13,-6.5,L,Underdog,110,123
San Antonio Spurs,2025-11-16,Sacramento Kings,Home,-6.5,13,6.5,W,Favorite,123,110
Golden State Warriors,2025-10-24,Portland Trail Blazers,Away,-2.5,-20,-22.5,L,Favorite,119,139
Portland Trail Blazers,2025-10-24,Golden State Warriors,Home,2.5,20,22.5,W,Underdog,139,119
Sacramento Kings,2025-12-03,Houston Rockets,Away,15.5,-26,-10.5,L,Underdog,95,121
Houston Rockets,2025-12-03,Sacramento Kings,Home,-15.5,26,10.5,W,Favorite,121,95
Denver Nuggets,2025-11-11,Sacramento Kings,Away,-8.5,14,5.5,W,Favorite,122,108
Sacramento Kings,2025-11-11,Denver Nuggets,Home,8.5,-14,-5.5,L,Underdog,108,122
Detroit Pistons,2025-11-09,Philadelphia 76ers,Away,-4.5,3,-1.5,L,Favorite,111,108
Philadelphia 76ers,2025-11-09,Detroit Pistons,Home,4.5,-3,1.5,W,Underdog,108,111
Washington Wizards,2025-11-10,Detroit Pistons,Away,11.5,-2,9.5,W,Underdog,135,137
Detroit Pistons,2025-11-10,Washington Wizards,Home,-11.5,2,-9.5,L,Favorite,137,135
LA Clippers,2025-11-06,Phoenix Suns,Away,2.5,-13,-10.5,L,Underdog,102,115
Phoenix Suns,2025-11-06,LA Clippers,Home,-2.5,13,10.5,W,Favorite,115,102
Detroit Pistons,2025-11-29,Miami Heat,Away,3.5,3,6.5,W,Underdog,138,135
Miami Heat,2025-11-29,Detroit Pistons,Home,-3.5,-3,-6.5,L,Favorite,135,138
New Orleans Pelicans,2025-11-21,Dallas Mavericks,Away,3.5,-3,0.5,W,Underdog,115,118
Dallas Mavericks,2025-11-21,New Orleans Pelicans,Home,-3.5,3,-0.5,L,Favorite,118,115
Washington Wizards,2025-11-22,Chicago Bulls,Away,12.5,-1,11.5,W,Underdog,120,121
Chicago Bulls,2025-11-22,Washington Wizards,Home,-12.5,1,-11.5,L,Favorite,121,120
Washington Wizards,2025-11-19,Minnesota Timberwolves,Away,16.5,-11,5.5,W,Underdog,109,120
Minnesota Timberwolves,2025-11-19,Washington Wizards,Home,-16.5,11,-5.5,L,Favorite,120,109
Brooklyn Nets,2025-12-12,Dallas Mavericks,Away,7.5,-8,-0.5,L,Underdog,111,119
Dallas Mavericks,2025-12-12,Brooklyn Nets,Home,-7.5,8,0.5,W,Favorite,119,111
Detroit Pistons,2025-11-03,Memphis Grizzlies,Away,-3.5,8,4.5,W,Favorite,114,106
Memphis Grizzlies,2025-11-03,Detroit Pistons,Home,3.5,-8,-4.5,L,Underdog,106,114
Charlotte Hornets,2025-10-26,Washington Wizards,Away,1.5,26,27.5,W,Underdog,139,113
Washington Wizards,2025-10-26,Charlotte Hornets,Home,-1.5,-26,-27.5,L,Favorite,113,139
Cleveland Cavaliers,2025-12-25,New York Knicks,Away,4.5,-2,2.5,W,Underdog,124,126
New York Knicks,2025-12-25,Cleveland Cavaliers,Home,-4.5,2,-2.5,L,Favorite,126,124
Boston Celtics,2025-10-27,New Orleans Pelicans,Away,-4.5,32,27.5,W,Favorite,122,90
New Orleans Pelicans,2025-10-27,Boston Celtics,Home,4.5,-32,-27.5,L,Underdog,90,122
Phoenix Suns,2025-10-27,Utah Jazz,Away,1.5,-4,-2.5,L,Underdog,134,138
Utah Jazz,2025-10-27,Phoenix Suns,Home,-1.5,4,2.5,W,Favorite,138,134
Portland Trail Blazers,2025-11-24,Milwaukee Bucks,Away,1.5,12,13.5,W,Underdog,115,103
Milwaukee Bucks,2025-11-24,Portland Trail Blazers,Home,-1.5,-12,-13.5,L,Favorite,103,115
Orlando Magic,2025-10-27,Philadelphia 76ers,Away,-6.5,-12,-18.5,L,Favorite,124,136
Philadelphia 76ers,2025-10-27,Orlando Magic,Home,6.5,12,18.5,W,Underdog,136,124
Milwaukee Bucks,2025-11-03,Indiana Pacers,Away,-6.5,2,-4.5,L,Favorite,117,115
Indiana Pacers,2025-11-03,Milwaukee Bucks,Home,6.5,-2,4.5,W,Underdog,115,117
Atlanta Hawks,2025-11-12,Sacramento Kings,Away,-4.5,33,28.5,W,Favorite,133,100
Sacramento Kings,2025-11-12,Atlanta Hawks,Home,4.5,-33,-28.5,L,Underdog,100,133
San Antonio Spurs,2025-12-05,Cleveland Cavaliers,Away,5.5,-13,-7.5,L,Underdog,117,130
Cleveland Cavaliers,2025-12-05,San Antonio Spurs,Home,-5.5,13,7.5,W,Favorite,130,117
Phoenix Suns,2025-12-08,Minnesota Timberwolves,Away,8.5,3,11.5,W,Underdog,108,105
Minnesota Timberwolves,2025-12-08,Phoenix Suns,Home,-8.5,-3,-11.5,L,Favorite,105,108
Detroit Pistons,2025-10-24,Houston Rockets,Away,6.5,4,10.5,W,Underdog,115,111
Houston Rockets,2025-10-24,Detroit Pistons,Home,-6.5,-4,-10.5,L,Favorite,111,115
Milwaukee Bucks,2025-12-23,Indiana Pacers,Away,-1.5,17,15.5,W,Favorite,111,94
Indiana Pacers,2025-12-23,Milwaukee Bucks,Home,1.5,-17,-15.5,L,Underdog,94,111
Indiana Pacers,2025-10-26,Minnesota Timberwolves,Away,11.5,-4,7.5,W,Underdog,110,114
Minnesota Timberwolves,2025-10-26,Indiana Pacers,Home,-11.5,4,-7.5,L,Favorite,114,110
Charlotte Hornets,2026-01-03,Chicago Bulls,Away,1.5,13,14.5,W,Underdog,112,99
Chicago Bulls,2026-01-03,Charlotte Hornets,Home,-1.5,-13,-14.5,L,Favorite,99,112
Los Angeles Lakers,2025-12-04,Toronto Raptors,Away,2.5,3,5.5,W,Underdog,123,120
Toronto Raptors,2025-12-04,Los Angeles Lakers,Home,-2.5,-3,-5.5,L,Favorite,120,123
Sacramento Kings,2025-12-08,Indiana Pacers,Away,3.5,-11,-7.5,L,Underdog,105,116
Indiana Pacers,2025-12-08,Sacramento Kings,Home,-3.5,11,7.5,W,Favorite,116,105
Toronto Raptors,2025-10-27,San Antonio Spurs,Away,4.5,-18,-13.5,L,Underdog,103,121
San Antonio Spurs,2025-10-27,Toronto Raptors,Home,-4.5,18,13.5,W,Favorite,121,103
LA Clippers,2025-11-20,Orlando Magic,Away,6.5,-28,-21.5,L,Underdog,101,129
Orlando Magic,2025-11-20,LA Clippers,Home,-6.5,28,21.5,W,Favorite,129,101
New Orleans Pelicans,2025-11-30,Los Angeles Lakers,Away,15.5,-12,3.5,W,Underdog,121,133
Los Angeles Lakers,2025-11-30,New Orleans Pelicans,Home,-15.5,12,-3.5,L,Favorite,133,121
Toronto Raptors,2025-12-21,Brooklyn Nets,Away,-3.5,-15,-18.5,L,Favorite,81,96
Brooklyn Nets,2025-12-21,Toronto Raptors,Home,3.5,15,18.5,W,Underdog,96,81
Portland Trail Blazers,2025-12-02,Toronto Raptors,Away,4.5,-3,1.5,W,Underdog,118,121
Toronto Raptors,2025-12-02,Portland Trail Blazers,Home,-4.5,3,-1.5,L,Favorite,121,118
Denver Nuggets,2025-12-05,Atlanta Hawks,Away,-3.5,1,-2.5,L,Favorite,134,133
Atlanta Hawks,2025-12-05,Denver Nuggets,Home,3.5,-1,2.5,W,Underdog,133,134
LA Clippers,2025-11-17,Philadelphia 76ers,Away,4.5,-2,2.5,W,Underdog,108,110
Philadelphia 76ers,2025-11-17,LA Clippers,Home,-4.5,2,-2.5,L,Favorite,110,108
Denver Nuggets,2025-11-19,New Orleans Pelicans,Away,-13.5,7,-6.5,L,Favorite,125,118
New Orleans Pelicans,2025-11-19,Denver Nuggets,Home,13.5,-7,6.5,W,Underdog,118,125
