player,game,game_time,market,line,bookmaker,under_odds,over_odds
Bennedict Mathurin,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,fanduel,-140,110
Tyrese Haliburton,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,3.5,fanduel,-158,124
Andrew Nembhard,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,bovada,-215,160
Bennedict Mathurin,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,bovada,-130,100
Jalen Williams,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,bovada,120,-160
Luguentz Dort,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,bovada,130,-170
Myles Turner,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,bovada,125,-165
Pascal Siakam,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,1.5,bovada,-125,-105
Shai Gilgeous-Alexander,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,2.5,bovada,-190,145
Tyrese Haliburton,Oklahoma City Thunder @ Indiana Pacers,2024-12-27T00:10:00Z,player_threes,3.5,bovada,-160,120
Zach LaVine,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,draftkings,130,-166
Coby White,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,draftkings,114,-145
Trae Young,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,draftkings,105,-135
De'Andre Hunter,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,draftkings,-160,124
Nikola Vucevic,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,draftkings,110,-140
Ayo Dosunmu,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,draftkings,-125,-105
Jalen Johnson,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,draftkings,-135,105
Dyson Daniels,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,draftkings,-154,120
Zaccharie Risacher,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,draftkings,-175,135
Josh Giddey,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,draftkings,-220,170
Trae Young,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,betrivers,-114,-117
Ayo Dosunmu,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,betrivers,-137,104
Coby White,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,betrivers,112,-150
Zach LaVine,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,betrivers,128,-175
Dyson Daniels,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,betrivers,-195,143
Jalen Johnson,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,betrivers,-148,110
Nikola Vucevic,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,betrivers,104,-137
Josh Giddey,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,williamhill_us,-234,165
Coby White,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,williamhill_us,108,-148
Zach LaVine,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,williamhill_us,126,-174
Trae Young,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,williamhill_us,-113,-121
Nikola Vucevic,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,williamhill_us,104,-142
Ayo Dosunmu,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,williamhill_us,-142,104
Zach LaVine,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,betonlineag,132,-172
Trae Young,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,betonlineag,-106,-122
Nikola Vucevic,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,betonlineag,110,-143
Ayo Dosunmu,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,betonlineag,-133,103
Coby White,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,betonlineag,114,-147
Josh Giddey,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,betonlineag,-227,171
Jalen Johnson,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,betonlineag,-137,106
Dyson Daniels,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,betonlineag,-167,128
Zaccharie Risacher,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,betonlineag,-182,139
De'Andre Hunter,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,betonlineag,-161,124
Ayo Dosunmu,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,betmgm,-135,100
Josh Giddey,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,betmgm,-225,165
Coby White,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,betmgm,110,-150
Nikola Vucevic,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,betmgm,105,-140
Zach LaVine,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,betmgm,125,-165
Trae Young,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,2.5,betmgm,-110,-120
Dyson Daniels,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,fanduel,-170,130
Ayo Dosunmu,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,fanduel,-154,120
Jalen Johnson,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,fanduel,-136,106
Zaccharie Risacher,Chicago Bulls @ Atlanta Hawks,2024-12-27T00:40:00Z,player_threes,1.5,fanduel,-178,138
