School,Nickname,Conference,team_name_espn
Saint Peter's University,Peacocks,MAAC,Saint Peter's Peacocks
Siena University,Saints,MAAC,Siena Saints
University of Akron,Zips,MAC,Akron Zips
Ball State University,Cardinals,MAC,Ball State Cardinals
Bowling Green State University (Bowling Green),Falcons,MAC,Bowling Green State (Bowling Green) Falcons
University at Buffalo,Bulls,MAC,at Buffalo Bulls
Central Michigan University,Chippewas,MAC,Central Michigan Chippewas
Eastern Michigan University,Eagles,MAC,Eastern Michigan Eagles
Kent State University,Golden Flashes,MAC,Kent State Golden Flashes
University of Massachusetts Amherst (UMass),Minutemen,MAC,Massachusetts Amherst (UMass) Minutemen
Miami University (Miami (OH)),RedHawks,MAC,Miami (Miami (OH)) RedHawks
Northern Illinois University (NIU),Huskies,MAC[h],Northern Illinois (NIU) Huskies
Ohio University,Bobcats,MAC,Ohio Bobcats
University of Toledo,Rockets,MAC,Toledo Rockets
Western Michigan University,Broncos,MAC,Western Michigan Broncos
Coppin State University,Eagles,MEAC,Coppin State Eagles
Delaware State University,Hornets,MEAC,Delaware State Hornets
Howard University,Bison,MEAC,Howard Bison
University of Maryland Eastern Shore (UMES),Hawks,MEAC,Maryland Eastern Shore (UMES) Hawks
Morgan State University,Bears,MEAC,Morgan State Bears
Norfolk State University,Spartans,MEAC,Norfolk State Spartans
North Carolina Central University (NCCU),Eagles,MEAC,North Carolina Central (NCCU) Eagles
South Carolina State University (SC State),Bulldogs,MEAC,South Carolina State (SC State) Bulldogs
Belmont University,Bruins,Missouri Valley,Belmont Bruins
Bradley University,Braves,Missouri Valley,Bradley Braves
Drake University,Bulldogs,Missouri Valley,Drake Bulldogs
University of Evansville,Purple Aces,Missouri Valley,Evansville Purple Aces
Illinois State University,Redbirds,Missouri Valley,Illinois State Redbirds
Indiana State University,Sycamores,Missouri Valley,Indiana State Sycamores
Murray State University,Racers,Missouri Valley,Murray State Racers
University of Northern Iowa (UNI),Panthers,Missouri Valley,Northern Iowa (UNI) Panthers
"Southern Illinois University Carbondale (Southern Illinois, SIU)",Salukis,Missouri Valley,"Southern Illinois Carbondale (Southern Illinois, SIU) Salukis"
University of Illinois Chicago (UIC),Flames,Missouri Valley,Illinois Chicago (UIC) Flames
Valparaiso University (Valpo),Beacons,Missouri Valley,Valparaiso (Valpo) Beacons
United States Air Force Academy (Air Force),Falcons,Mountain West,United States Air Force Academy (Air Force) Falcons
Boise State University,Broncos,Mountain West[i],Boise State Broncos
Colorado State University,Rams,Mountain West[i],Colorado State Rams
"California State University, Fresno (Fresno State)",Bulldogs,Mountain West[i],"California State , Fresno (Fresno State) Bulldogs"
Grand Canyon University,Antelopes,Mountain West,Grand Canyon Antelopes
"University of Nevada, Reno (Nevada, UNR)",Wolf Pack,Mountain West,"Nevada, Reno (Nevada, UNR) Wolf Pack"
University of New Mexico (UNM),Lobos,Mountain West,New Mexico (UNM) Lobos
San Diego State University (SDSU),Aztecs,Mountain West[i],San Diego State (SDSU) Aztecs
San Jose State University,Spartans,Mountain West,San Jose State Spartans
"University of Nevada, Las Vegas (UNLV)",Runnin' Rebels,Mountain West,"Nevada, Las Vegas (UNLV) Runnin' Rebels"
Utah State University,Aggies,Mountain West[i],Utah State Aggies
University of Wyoming,Cowboys,Mountain West,Wyoming Cowboys
Central Connecticut State University (Central Connecticut),Blue Devils,NEC,Central Connecticut State (Central Connecticut) Blue Devils
Chicago State University,Cougars,NEC,Chicago State Cougars
Fairleigh Dickinson University,Knights,NEC,Fairleigh Dickinson Knights
Le Moyne College[j],Dolphins,NEC,Le Moyne College[j] Dolphins
Long Island University (LIU),Sharks,NEC,Long Island (LIU) Sharks
Mercyhurst University[b],Lakers,NEC,Mercyhurst [b] Lakers
University of New Haven[k],Chargers,NEC,New Haven[k] Chargers
"Saint Francis University (Saint Francis [PA], SFU)",Red Flash,NEC[l],"Saint Francis (Saint Francis [PA], SFU) Red Flash"
Stonehill College,Skyhawks,NEC,Stonehill College Skyhawks
Wagner College,Seahawks,NEC,Wagner College Seahawks
Eastern Illinois University,Panthers,Ohio Valley,Eastern Illinois Panthers
Lindenwood University,Lions,Ohio Valley,Lindenwood Lions
University of Arkansas at Little Rock (Little Rock),Trojans,Ohio Valley[a],Arkansas at Little Rock (Little Rock) Trojans
Morehead State University,Eagles,Ohio Valley,Morehead State Eagles
Southeast Missouri State University (Southeast Missouri or SEMO),Redhawks,Ohio Valley,Southeast Missouri State (Southeast Missouri or SEMO) Redhawks
Southern Illinois University Edwardsville (SIU Edwardsville or SIUE),Cougars,Ohio Valley,Southern Illinois Edwardsville (SIU Edwardsville or SIUE) Cougars
University of Southern Indiana,Screaming Eagles,Ohio Valley,Southern Indiana Screaming Eagles
University of Tennessee at Martin (UT Martin),Skyhawks,Ohio Valley,Tennessee at Martin (UT Martin) Skyhawks
Tennessee State University,Tigers,Ohio Valley,Tennessee State Tigers
Tennessee Tech University,Golden Eagles,Ohio Valley[n],Tennessee Tech Golden Eagles
Western Illinois University,Leathernecks,Ohio Valley,Western Illinois Leathernecks
American University,Eagles,Patriot League,American Eagles
United States Military Academy (Army or Army West Point),Black Knights,Patriot League,United States Military Academy (Army or Army West Point) Black Knights
Boston University,Terriers,Patriot League,Boston Terriers
Bucknell University,Bison,Patriot League,Bucknell Bison
Colgate University,Raiders,Patriot League,Colgate Raiders
College of the Holy Cross,Crusaders,Patriot League,the Holy Cross Crusaders
Lafayette College,Leopards,Patriot League,Lafayette College Leopards
Lehigh University,Mountain Hawks,Patriot League,Lehigh Mountain Hawks
Loyola University Maryland (Loyola Maryland),Greyhounds,Patriot League,Loyola Maryland (Loyola Maryland) Greyhounds
United States Naval Academy (Navy),Midshipmen,Patriot League,United States Naval Academy (Navy) Midshipmen
University of Alabama,Crimson Tide,SEC,Alabama Crimson Tide
University of Arkansas,Razorbacks,SEC,Arkansas Razorbacks
Auburn University,Tigers,SEC,Auburn Tigers
University of Florida,Gators,SEC,Florida Gators
University of Georgia (UGA),Bulldogs,SEC,Georgia (UGA) Bulldogs
University of Kentucky (UK),Wildcats,SEC,Kentucky (UK) Wildcats
Louisiana State University (LSU),Tigers,SEC,Louisiana State (LSU) Tigers
University of Mississippi (Ole Miss),Rebels,SEC,Mississippi (Ole Miss) Rebels
Mississippi State University,Bulldogs,SEC,Mississippi State Bulldogs
University of Missouri (Mizzou),Tigers,SEC,Missouri (Mizzou) Tigers
University of Oklahoma,Sooners,SEC,Oklahoma Sooners
University of South Carolina,Gamecocks,SEC,South Carolina Gamecocks
University of Tennessee,Volunteers,SEC,Tennessee Volunteers
University of Texas at Austin (Texas),Longhorns,SEC,Texas at Austin (Texas) Longhorns
Texas A&M University,Aggies,SEC,Texas A&M Aggies
Vanderbilt University (Vandy),Commodores,SEC,Vanderbilt (Vandy) Commodores
University of Tennessee at Chattanooga (Chattanooga),Mocs,Southern,Tennessee at Chattanooga (Chattanooga) Mocs
The Citadel,Bulldogs,Southern,The Citadel Bulldogs
East Tennessee State University (ETSU),Buccaneers,Southern,East Tennessee State (ETSU) Buccaneers
Furman University,Paladins,Southern,Furman Paladins
Mercer University,Bears,Southern,Mercer Bears
Samford University,Bulldogs,Southern,Samford Bulldogs
University of North Carolina at Greensboro (UNCG or UNC Greensboro),Spartans,Southern,North Carolina at Greensboro (UNCG or UNC Greensboro) Spartans
Virginia Military Institute (VMI),Keydets,Southern,Virginia Military Institute (VMI) Keydets
